id,title,identifier,identifier2
3036,Santa,pragmaticexternal:Santa,vs20santa
3037,7 Monkeys,pragmaticexternal:SevenMonkeys,vs7monkeys
3042,Super 7s,pragmaticexternal:Super7s,vs5super7
3043,Super Joker,pragmaticexternal:SuperJoker,vs5spjoker
3044,Sweet Bonanza,pragmaticexternal:SweetBonanza,vs20fruitsw
3045,Sweet Bonanza Xmas,pragmaticexternal:SweetBonanzaXmas,vs20sbxmas
3046,The Champions,pragmaticexternal:TheChampions,vs25champ
3047,The Dog House,pragmaticexternal:TheDogHouse,vs20doghouse
3048,The Great Chicken Escape,pragmaticexternal:TheGreatChickenEscape,vs20chicken
3049,The Wild Machine,pragmaticexternal:TheWildMachine,vs40madwheel
3050,3 Genie Wishes,pragmaticexternal:ThreeGenieWishes,vs50aladdin
3051,3 Kingdoms - Battle of Red Cliffs,pragmaticexternal:ThreeKindoms,vs25kingdoms
3052,Treasure Horse,pragmaticexternal:TreasureHorse,vs18mashang
3053,Tree of Riches,pragmaticexternal:TreeofRiches,vs1fortunetree
3054,Triple Dragons,pragmaticexternal:TripleDragons,vs5trdragons
3055,Triple Jokers,pragmaticexternal:TripleJokers,vs5trjokers
3056,Triple Tigers,pragmaticexternal:TripleTigers,vs1tigers
3057,Vampires vs Wolves,pragmaticexternal:VampiresvsWolves,vs10vampwolf
3058,Vegas Magic,pragmaticexternal:VegasMagic,vs20vegasmagic
3059,Vegas Nights,pragmaticexternal:VegasNights,vs25vegas
3060,Wild Gladiators,pragmaticexternal:WildGladiators,vs25gladiator
3061,Wild Pixies,pragmaticexternal:WildPixies,vs20wildpix
3062,Wild Spells,pragmaticexternal:WildSpells,vs25wildspells
3063,Wild West Gold,pragmaticexternal:WildWestGold,vs40wildwest
3064,Wolf Gold,pragmaticexternal:WolfGold,vs25wolfgold
3065,Wolf Gold 1 000 000,pragmaticexternal:WolfGold1000000,scwolfgold
3753,Great Rhino Deluxe,pragmaticexternal:GreatRhinoDeluxe,vs20rhinoluxe
10092,5 Lions Dance,pragmaticexternal:5LionsDance,vs1024lionsd
10093,Star Bounty,pragmaticexternal:StarBounty,vswayshive
10106,Emerald King,pragmaticexternal:EmeraldKing,vs20eking
10129,Wild Walker,pragmaticexternal:WildWalker,vs25walker
12000,Peaky Blinders,pragmaticexternal:PeakyBlinders,vs20pblinders
12173,Dragon Tiger,pragmaticexternal:DragonTiger1,vs1024dtiger
12174,Gems Bonanza,pragmaticexternal:GemsBonanza1,vs20goldfever
12175,Pirate Gold Deluxe,pragmaticexternal:PirateGoldDeluxe1,vs40pirgold
12176,Return of the Dead,pragmaticexternal:ReturnOftheDead1,vs10returndead
12181,The Dog House Megaways,pragmaticexternal:TheDogHouseMegaways1,vswaysdogs
12183,Cowboys Gold,pragmaticexternal:Cowboysgold1,vs10cowgold
12194,Christmas Carol Megaways,pragmaticexternal:ChristmasCarolMegaways1,vs20xmascarol
12216,Aztec Gems Deluxe,pragmaticexternal:AztecGemsDeluxe1,vs9aztecgemsdx
12217,Book of Kingdoms,pragmaticexternal:BookofKingdoms1,vs25bkofkngdm
12218,Curse of the Werewolf Megaways,pragmaticexternal:CurseoftheWerewolfMegaways,vswayswerewolf
12219,Fruit Party,pragmaticexternal:FruitParty1,vs20fruitparty
12220,Hot to burn,pragmaticexternal:Hottoburn1,vs5hotburn
12221,John Hunter and the Book of Tut,pragmaticexternal:JohnHunterandtheBookofTut,vs10bookoftut
12222,Jungle Gorilla,pragmaticexternal:JungleGorilla1,vs20gorilla
12223,Pyramid King,pragmaticexternal:PyramidKing1,vs25pyramid
12224,Starz Megaways,pragmaticexternal:StarzMegaways,vs117649starz
12225,Street Racer,pragmaticexternal:StreetRace,vs40streetracer
12226,Three Star Fortune,pragmaticexternal:ThreeStarFortune,vs10threestar
12227,Ultra Burn,pragmaticexternal:UltraBurn,vs5ultrab
12228,Ultra Hold and Spin,pragmaticexternal:UltraHoldandSpin,vs5ultra
12229,Wild Wild Riches,pragmaticexternal:WildWildRiches,vs576treasures
12278,John Hunter and the Mayan Gods,pragmaticexternal:JohnHunterAndtheMayanGods,vs10mayangods
12279,Spartan King,pragmaticexternal:SpartanKing,vs40spartaking
12437,Big Bass Bonanza,pragmaticexternal:BigBassBonanza,vs10bbbonanza
12468,Mysterious Egypt,pragmaticexternal:MysteriousEgypt,vs10wildtut
12469,Voodoo Magic,pragmaticexternal:VoodooMagic,vs40voodoo
12537,Emerald King Rainbow Road,pragmaticexternal:EmeraldKingRainbowRoad,vs20ekingrr
12550,Congo Cash,pragmaticexternal:CongoCash1,vs432congocash
12551,Madame Destiny Megaways,pragmaticexternal:MadameDestinyMegaways1,vswaysmadame
12596,Dragon Kingdom - Eyes of Fire,pragmaticexternal:DragonKingdomEyesOfFire1,vs5drmystery
12597,Eye of the Storm,pragmaticexternal:EyeOfTheStorm1,vs10eyestorm
12598,The Hand of Midas,pragmaticexternal:TheHandOfMidas,vs20midas
12756,Joker King,pragmaticexternal:JokerKing1,vs25jokerking
12774,Gates of Olympus,pragmaticexternal:GatesOfOlympus1,vs20olympgate
12932,Temujin Treasures,pragmaticexternal:TemujinTreasures,vs1024temuj
12947,Hot to Burn Hold and Spin,pragmaticexternal:HottoBurnHoldandSpin1,vs20hburnhs
12993,Juicy Fruits,pragmaticexternal:JuicyFruits,vs50juicyfr
13022,Fishin' Reels,pragmaticexternal:FishinReels,vs10goldfish
13270,Power of Thor Megaways,pragmaticexternal:PowerofThorMegaways,vswayshammthor
13339,Wild Booster,pragmaticexternal:WildBooster1,vs20wildboost
13817,Floating Dragon Hold&Spin,pragmaticexternal:FloatingDragon1,vs10floatdrg
13836,Hot Fiesta,pragmaticexternal:HotFiesta1,vs25hotfiesta
13935,Phoenix Forge,pragmaticexternal:PhoenixForge1,vs20phoenixf
13937,Buffalo King Megaways,pragmaticexternal:BuffaloKingMegaways1,vswaysbufking
