id,title,identifier,identifier2
1834,Egyptian Dreams Deluxe,habanero:SGEgyptianDreamsDeluxe,SGEgyptianDreamsDeluxe
1835,Fa Cai Shen,habanero:SGFaCaiShen,SGFaCaiShen
1836,Fa Cai Shen Deluxe,habanero:SGFaCaiShenDeluxe,SGFaCaiShenDeluxe
1837,Fenghuang,habanero:SGFenghuang,SGFenghuang
1838,Fire Rooster,habanero:SGFireRooster,SGFireRooster
1839,Flying High,habanero:SGFlyingHigh,SGFlyingHigh
1840,Fortune Dogs,habanero:SGFortuneDogs,SGFortuneDogs
1841,Four Divine Beasts,habanero:SGFourDivineBeasts,SGFourDivineBeasts
1842,Galactic Cash,habanero:SGGalacticCash,SGGalacticCash
1843,Gangsters,habanero:SGGangsters,SGGangsters
1844,Gold Rush,habanero:SGGoldRush,SGGoldRush
1845,Golden Unicorn,habanero:SGGoldenUnicorn,SGGoldenUnicorn
1846,Happiest Christmas Tree,habanero:SGHappiestChristmasTree,SGHappiestChristmasTree
1847,Hey Sushi,habanero:SGHeySushi,SGHeySushi
1848,Hot Hot Fruit,habanero:SGHotHotFruit,SGHotHotFruit
1849,Hot Hot Halloween,habanero:SGHotHotHalloween,SGHotHotHalloween
1850,Indian Cash Catcher,habanero:SGIndianCashCatcher,SGIndianCashCatcher
1851,Jugglenaut,habanero:SGJugglenaut,SGJugglenaut
1852,Jump!,habanero:SGJump,SGJump
1853,Jungle Rumble,habanero:SGJungleRumble,SGJungleRumble
1854,Kane's Inferno,habanero:SGKanesInferno,SGKanesInferno
1855,Knockout Football,habanero:SGKnockoutFootball,SGKnockoutFootball
1856,Knockout Football Rush,habanero:SGKnockoutFootballRush,SGKnockoutFootballRush
1857,Little Green Money,habanero:SGLittleGreenMoney,SGLittleGreenMoney
1858,London Hunter,habanero:SGLondonHunter,SGLondonHunter
1859,Loony Blox,habanero:SGLoonyBlox,SGLoonyBlox
1860,Lucky Fortune Cat,habanero:SGLuckyFortuneCat,SGLuckyFortuneCat
1861,Lucky Lucky,habanero:SGLuckyLucky,SGLuckyLucky
1862,Magic Oak,habanero:SGMagicOak,SGMagicOak
1863,Monster Mash Cash,habanero:SGMonsterMashCash,SGMonsterMashCash
1864,Mount Mazuma,habanero:SGMountMazuma,SGMountMazuma
1865,Mr Bling,habanero:SGMrBling,SGMrBling
1866,Mummy Money,habanero:SGMummyMoney,SGMummyMoney
1867,Mystic Fortune,habanero:SGMysticFortune,SGMysticFortune
1868,Naughty Santa,habanero:SGNaughtySanta,SGNaughtySanta
1869,Nuwa,habanero:SGNuwa,SGNuwa
1870,Ocean's Call,habanero:SGOceansCall,SGOceansCall
1871,Pamper Me,habanero:SGPamperMe,SGPamperMe
1872,Panda Panda,habanero:SGPandaPanda,SGPandaPanda
1873,Pool Shark,habanero:SGPoolShark,SGPoolShark
1874,Presto!,habanero:SGPresto,SGPresto
1875,Pucker Up Prince,habanero:SGPuckerUpPrince,SGPuckerUpPrince
1876,Pumpkin Patch,habanero:SGPumpkinPatch,SGPumpkinPatch
1877,Queen of Queens II,habanero:SGQueenOfQueens1024,SGQueenOfQueens1024
1878,Rolling Roger,habanero:SGRollingRoger,SGRollingRoger
1879,Roman Empire,habanero:SGRomanEmpire,SGRomanEmpire
1880,Ruffled Up,habanero:SGRuffledUp,SGRuffledUp
1881,S.O.S!,habanero:SGSOS,SGSOS
1882,Santa's Village,habanero:SGSantasVillage,SGSantasVillage
1883,Scopa,habanero:SGScopa,SGScopa
1884,Scruffy Scallywags,habanero:SGScruffyScallywags,SGScruffyScallywags
1885,Shaolin Fortunes,habanero:SGShaolinFortunes243,SGShaolinFortunes243
1886,Space Fortune,habanero:SGSpaceFortune,SGSpaceFortune
1887,Sparta,habanero:SGSparta,SGSparta
1888,Super Strike,habanero:SGSuperStrike,SGSuperStrike
1889,Super Twister,habanero:SGSuperTwister,SGSuperTwister
1890,Techno Tumble,habanero:SGTechnoTumble,SGTechnoTumble
1891,The Big Deal,habanero:SGTheBigDeal,SGTheBigDeal
1892,The Dead Escape,habanero:SGTheDeadEscape,SGTheDeadEscape
1893,Dragon Castle,habanero:SGTheDragonCastle,SGTheDragonCastle
1894,The Koi Gate,habanero:SGTheKoiGate,SGTheKoiGate
1895,Tower Of Pizza,habanero:SGTowerOfPizza,SGTowerOfPizza
1896,Treasure Diver,habanero:SGTreasureDiver,SGTreasureDiver
1897,Viking's Plunder,habanero:SGVikingsPlunder,SGVikingsPlunder
1898,Ways of Fortune,habanero:SGWaysOfFortune,SGWaysOfFortune
1899,Weird Science,habanero:SGWeirdScience,SGWeirdScience
1900,Wicked Witch,habanero:SGWickedWitch,SGWickedWitch
1901,Wild Trucks,habanero:SGWildTrucks,SGWildTrucks
1902,Wizards Want War,habanero:SGWizardsWantWar,SGWizardsWantWar
1903,Zeus,habanero:SGZeus,SGZeus
1904,Sic Bo,habanero:SicBo,SicBo
1905,American Blackjack,habanero:TGBlackjackAmerican,TGBlackjackAmerican
1906,Dragon Tiger,habanero:TGDragonTiger,TGDragonTiger
1907,Three Card Poker,habanero:TGThreeCardPoker,TGThreeCardPoker
1908,Three Card Poker Deluxe,habanero:TGThreeCardPokerDeluxe,TGThreeCardPokerDeluxe
1909,War,habanero:TGWar,TGWar
1910,Tens or Better 100 Hand,habanero:TensorBetter100Hand,TensorBetter100Hand
1911,Tens or Better 10 Hand,habanero:TensorBetter10Hand,TensorBetter10Hand
1912,Tens or Better 1 Hand,habanero:TensorBetter1Hand,TensorBetter1Hand
1913,Tens or Better 50 Hand,habanero:TensorBetter50Hand,TensorBetter50Hand
1914,Tens or Better 5 Hand,habanero:TensorBetter5Hand,TensorBetter5Hand
3673,Jellyfish Flow,habanero:SGJellyfishFlow,SGJellyfishFlow
3674,Wealth Inn,habanero:SGWealthInn,SGWealthInn
9453,Jellyfish Flow Ultra,habanero:SGJellyfishFlowUltra,SGJellyfishFlowUltra
10089,Happy Ape,habanero:SGHappyApe,SGHappyApe
12025,Taberna De Los Muertos,habanero:SGTabernaDeLosMuertos,SGTabernaDeLosMuertos
12026,Taberna De Los Muertos Ultra,habanero:SGTabernaDeLosMuertosUltra,SGTabernaDeLosMuertosUltra
12272,Christmas Gift Rush,habanero:SGChristmasGiftRush,SGChristmasGiftRush
